,^GSPC,,,,,,,^IXIC,,,,,,,^DJI,,,,,,,^NYA,,,,,,,^XAX,,,,,,,^BUK100P,,,,,,,^RUT,,,,,,,^VIX,,,,,,,^GDAXI,,,,,,,^FCHI,,,,,,,^STOXX50E,,,,,,,^N100,,,,,,,^BFX,,,,,,,IMOEX.ME,,,,,,,^N225,,,,,,,^HSI,,,,,,,000001.SS,,,,,,,399001.SZ,,,,,,,^AXJO,,,,,,,^AORD,,,,,,,^BSESN,,,,,,,^JKSE,,,,,,,^NZ50,,,,,,,^KS11,,,,,,,^TWII,,,,,,,^GSPTSE,,,,,,,^BVSP,,,,,,,^MXX,,,,,,,^IPSA,,,,,,,^MERV,,,,,,,^TA125.TA,,,,,,,^CASE30,,,,,,,^JN0U.JO,,,,,
Date,High,Low,Open,Close,Volume,Adj Close,,High,Low,Open,Close,Volume,Adj Close,,High,Low,Open,Close,Volume,Adj Close,,High,Low,Open,Close,Volume,Adj Close,,High,Low,Open,Close,Volume,Adj Close,,High,Low,Open,Close,Volume,Adj Close,,High,Low,Open,Close,Volume,Adj Close,,High,Low,Open,Close,Volume,Adj Close,,High,Low,Open,Close,Volume,Adj Close,,High,Low,Open,Close,Volume,Adj Close,,High,Low,Open,Close,Volume,Adj Close,,High,Low,Open,Close,Volume,Adj Close,,High,Low,Open,Close,Volume,Adj Close,,High,Low,Open,Close,Volume,Adj Close,,High,Low,Open,Close,Volume,Adj Close,,High,Low,Open,Close,Volume,Adj Close,,High,Low,Open,Close,Volume,Adj Close,,High,Low,Open,Close,Volume,Adj Close,,High,Low,Open,Close,Volume,Adj Close,,High,Low,Open,Close,Volume,Adj Close,,High,Low,Open,Close,Volume,Adj Close,,High,Low,Open,Close,Volume,Adj Close,,High,Low,Open,Close,Volume,Adj Close,,High,Low,Open,Close,Volume,Adj Close,,High,Low,Open,Close,Volume,Adj Close,,High,Low,Open,Close,Volume,Adj Close,,High,Low,Open,Close,Volume,Adj Close,,High,Low,Open,Close,Volume,Adj Close,,High,Low,Open,Close,Volume,Adj Close,,High,Low,Open,Close,Volume,Adj Close,,High,Low,Open,Close,Volume,Adj Close,,High,Low,Open,Close,Volume,Adj Close,,High,Low,Open,Close,Volume,Adj Close
12/31/1996,753.9500122,740.7399902,753.8499756,740.7399902,399760000,740.7399902,,1291.880005,1285.449951,1289.23999,1291.030029,666010000,1291.030029,,6553.600098,6448.27002,6550.899902,6448.27002,31910000,6448.27002,,4148.069824,4148.069824,4148.069824,4148.069824,0,4148.069824,,572.4199829,569.75,572.1199951,572.3400269,289500,572.3400269,,,,,,,,,362.6099854,359.230011,359.9899902,362.6099854,399760000,362.6099854,,20.92000008,19.79999924,19.86000061,20.92000008,0,20.92000008,,,,,,,,,2328.199951,2302.100098,2323.899902,2315.699951,0,2315.699951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5960,5921.899902,5955.700195,5927,454500,5927,,,,,,,,,3361,3329.399902,3347.5,3361,0,3361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/1997,742.8099976,729.5499878,740.7399902,737.0100098,463230000,737.0100098,,1293.630005,1272.339966,1292.650024,1280.699951,492350000,1280.699951,,6468.660156,6352.830078,6447.5,6442.490234,53850000,6442.490234,,4118.790039,4118.790039,4118.790039,4118.790039,0,4118.790039,,573.6300049,567.8900146,572.3400269,569.1599731,186100,569.1599731,,,,,,,,,362.6199951,357.6099854,362.6099854,358.9599915,463230000,358.9599915,,22.79999924,21.10000038,21.54000092,21.13999939,0,21.13999939,,2850.939941,2815.5,2836.820068,2820.810059,0,2820.810059,,2305.899902,2251.5,2305.899902,2257,0,2257,,,,,,,,,,,,,,,,1893.699951,1866.199951,1893,1871.099976,0,1871.099976,,,,,,,,,,,,,,,,13362.5,13200.2002,13362.5,13203.40039,0,13203.40039,,,,,,,,,,,,,,,,2344.800049,2344.800049,2344.800049,2344.800049,0,2344.800049,,2411.199951,2399.5,2411.199951,2399.5,0,2399.5,,,,,,,,,638.8969727,634.1400146,637.4320068,638.1030273,1077300,638.1030273,,,,,,,,,,,,,,,,,,,,,,,5917.799805,5872.200195,5917.799805,5904.299805,489500,5904.299805,,7040,6955.399902,7040,6955.5,0,6955.5,,3361,3335.5,3361,3359.5,0,3359.5,,,,,,,,,,,,,,,,214.3899994,211.0399933,211.0399933,214.1499939,0,214.1499939,,,,,,,,,,,,,,
1/3/1997,748.2399902,737.0100098,737.0100098,748.0300293,452970000,748.0300293,,1310.839966,1280.699951,1288.02002,1310.680054,519140000,1310.680054,,6545.629883,6443.649902,6443.700195,6544.089844,43050000,6544.089844,,4166.680176,4166.680176,4166.680176,4166.680176,0,4166.680176,,572.4500122,569,569.1599731,572.4500122,233300,572.4500122,,,,,,,,,361.8500061,358.9599915,358.9599915,361.8500061,452970000,361.8500061,,19.92000008,19.04000092,19.81999969,19.12999916,0,19.12999916,,2863.280029,2833.610107,2836.620117,2863.26001,0,2863.26001,,2285.5,2259.5,2265.600098,2282.800049,0,2282.800049,,,,,,,,,,,,,,,,1890.199951,1874.5,1880.5,1889.900024,0,1889.900024,,,,,,,,,,,,,,,,13241.2002,13147.2998,13173.2998,13222.7998,0,13222.7998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,646.1939697,637.8510132,638.1030273,646.1939697,975400,646.1939697,,,,,,,,,655.7000122,635.4099731,647.6699829,653.789978,13900,653.789978,,,,,,,,,5932.200195,5907.600098,5911.899902,5919.5,609400,5919.5,,7008.700195,6952.5,7008.700195,6997.799805,0,6997.799805,,3404.899902,3357.600098,3359.5,3397,0,3397,,,,,,,,,652.5999756,639.5999756,639.5999756,651.7999878,0,651.7999878,,,,,,,,,,,,,,,,,,,,,
1/6/1997,753.3099976,743.8200073,748.0300293,747.6500244,531350000,747.6500244,,1321.469971,1310.630005,1314.339966,1316.400024,588140000,1316.400024,,6619.129883,6531,6546,6567.180176,51680000,6567.180176,,4169.009766,4169.009766,4169.009766,4169.009766,0,4169.009766,,573.9099731,570.9500122,572.4500122,572.0599976,206600,572.0599976,,,,,,,,,363.6199951,361.8299866,361.8299866,362.3099976,531350000,362.3099976,,20.44000053,19.42000008,19.84000015,19.88999939,0,19.88999939,,2904.47998,2877.350098,2884.060059,2890.199951,0,2890.199951,,2309.899902,2294.800049,2309.899902,2306.699951,0,2306.699951,,,,,,,,,,,,,,,,1906.400024,1897.099976,1902.900024,1898.800049,0,1898.800049,,,,,,,,,19500.90039,19203.5293,19364.24023,19446,0,19446,,13443.90039,13282.2998,13282.2998,13443.90039,0,13443.90039,,,,,,,,,,,,,,,,2347.399902,2347.399902,2347.399902,2347.399902,0,2347.399902,,2409.800049,2397.399902,2409.800049,2400.699951,0,2400.699951,,,,,,,,,654.125,646.2459717,646.2459717,653.9569702,1748400,653.9569702,,,,,,,,,637.9799805,625.0100098,637.9799805,626.8699951,17600,626.8699951,,,,,,,,,5938.100098,5905,5916.700195,5920.700195,754600,5920.700195,,7171.700195,6993.600098,7171.700195,7159.5,0,7159.5,,3501.899902,3397,3397,3492.199951,0,3492.199951,,,,,,,,,662,651.7999878,651.7999878,657,0,657,,225.8200073,222.1900024,222.1900024,225.0099945,0,225.0099945,,,,,,,,,,,,,,
1/7/1997,753.2600098,742.1799927,747.6500244,753.2299805,538220000,753.2299805,,1327.819946,1312.079956,1316.910034,1327.72998,577740000,1327.72998,,6603.350098,6512.529785,6567.600098,6600.660156,45470000,6600.660156,,4196.709961,4196.709961,4196.709961,4196.709961,0,4196.709961,,575.6300049,571.0800171,572.0599976,575.6300049,221900,575.6300049,,,,,,,,,364.1600037,361.7799988,362.3099976,364.1600037,538220000,364.1600037,,20.70999908,19.30999947,20.45999908,19.35000038,0,19.35000038,,2885.219971,2869.060059,2883.129883,2876.340088,0,2876.340088,,2315.300049,2294,2301.399902,2301.699951,0,2301.699951,,,,,,,,,,,,,,,,1901.800049,1891.900024,1899.800049,1891.900024,0,1891.900024,,,,,,,,,19443.5,18895.99023,19443.5,18896.18945,0,18896.18945,,13564.59961,13371.7998,13515.59961,13420.2002,0,13420.2002,,,,,,,,,,,,,,,,2362.199951,2362.199951,2362.199951,2362.199951,0,2362.199951,,2422.399902,2400.699951,2400.699951,2415,0,2415,,,,,,,,,660.3670044,653.8699951,654.0150146,660.3670044,1542000,660.3670044,,,,,,,,,627.6099854,609.1199951,622.4500122,611.0499878,24100,611.0499878,,,,,,,,,5946.899902,5903.100098,5906.299805,5946.899902,1036200,5946.899902,,7171.700195,6993.600098,7171.700195,7159.5,0,7159.5,,3524.899902,3490.600098,3492.199951,3516.100098,0,3516.100098,,,,,,,,,663.5,657,657,663.5,0,663.5,,230.8000031,225.0099945,225.0099945,229.1499939,0,229.1499939,,,,,,,,,,,,,,
1/8/1997,755.7199707,747.710022,753.2299805,748.4099731,557510000,748.4099731,,1330.77002,1319.939941,1329.599976,1320.349976,666490000,1320.349976,,6627.97998,6536.779785,6600.299805,6549.47998,43040000,6549.47998,,4179.27002,4179.27002,4179.27002,4179.27002,0,4179.27002,,577.8200073,575.5999756,575.6300049,576.7199707,243600,576.7199707,,,,,,,,,365.2399902,363.9700012,364.1600037,364.1700134,557510000,364.1700134,,20.53000069,18.60000038,18.60000038,20.23999977,0,20.23999977,,2909.23999,2887.280029,2888.72998,2904.080078,0,2904.080078,,2333.199951,2315.600098,2316.199951,2331.600098,0,2331.600098,,,,,,,,,,,,,,,,1911.599976,1899.099976,1901.900024,1904.800049,0,1904.800049,,,,,,,,,18998.30078,18555.80078,18911.16016,18680.38086,0,18680.38086,,13501.2002,13432.7998,13442.09961,13454.90039,0,13454.90039,,,,,,,,,,,,,,,,2370.600098,2370.600098,2370.600098,2370.600098,0,2370.600098,,2429.199951,2402.199951,2415,2423.199951,0,2423.199951,,,,,,,,,663.0369873,658.2410278,660.4660034,662.2050171,1742300,662.2050171,,,,,,,,,623.3900146,600.5599976,608.5300293,621.4099731,34200,621.4099731,,,,,,,,,5946.700195,5926.600098,5946.700195,5930,1096300,5930,,7463.399902,7297.5,7463.399902,7427,0,7427,,3558.300049,3516.5,3516.5,3558,0,3558,,,,,,,,,671.5999756,663.7000122,664,664.5999756,0,664.5999756,,230.1499939,227.3999939,229.1499939,229.8399963,0,229.8399963,,,,,,,,,,,,,,
1/9/1997,757.6799927,748.4099731,748.4099731,754.8499756,555370000,754.8499756,,1327.23999,1320.329956,1325.22998,1326.199951,621950000,1326.199951,,6657.22998,6544.859863,6547.899902,6625.669922,40440000,6625.669922,,4214.47998,4214.47998,4214.47998,4214.47998,0,4214.47998,,581.7399902,576.7199707,576.7199707,581.7399902,325100,581.7399902,,,,,,,,,365.5899963,364.1700134,364.1700134,365.5899963,555370000,365.5899963,,21.10000038,19.87000084,19.98999977,20.90999985,0,20.90999985,,2937.780029,2884.300049,2910.620117,2936.689941,0,2936.689941,,2350.399902,2320.600098,2324.600098,2349.100098,0,2349.100098,,,,,,,,,,,,,,,,1929.699951,1903.699951,1904.199951,1929.599976,0,1929.599976,,,,,,,,,18726.49023,18071.9707,18631.56055,18073.86914,0,18073.86914,,13412,13086.2002,13412,13198.09961,0,13198.09961,,,,,,,,,,,,,,,,2364.100098,2364.100098,2364.100098,2364.100098,0,2364.100098,,2438.800049,2417.300049,2423.199951,2418.600098,0,2418.600098,,,,,,,,,662.3460083,655.6049805,662.3460083,657.4329834,1933900,657.4329834,,,,,,,,,640.8099976,612.4099731,619.0999756,639.8699951,36100,639.8699951,,,,,,,,,5959.399902,5933.600098,5936.799805,5959.399902,1028200,5959.399902,,7490.100098,7325.399902,7490.100098,7454.200195,0,7454.200195,,3579.100098,3529.199951,3558,3578.300049,0,3578.300049,,,,,,,,,672.2000122,664.5,664.5,672.2000122,0,672.2000122,,229.8399963,227.2599945,229.8399963,227.6000061,0,227.6000061,,,,,,,,,,,,,,
1/10/1997,759.6500244,746.9199829,754.8499756,759.5,545850000,759.5,,1332.02002,1311.780029,1317.380005,1332.02002,659530000,1332.02002,,6708.029785,6557.939941,6623.799805,6703.790039,49590000,6703.790039,,4237.529785,4237.529785,4237.529785,4237.529785,0,4237.529785,,586.039978,578.2999878,581.7399902,586.039978,344700,586.039978,,,,,,,,,366.0899963,362.2600098,365.5899963,366.0899963,545860000,366.0899963,,20.81999969,19.51000023,20.75,19.62999916,0,19.62999916,,2948.610107,2892.850098,2947.98999,2915.810059,0,2915.810059,,2347.899902,2308.699951,2347.899902,2327.5,0,2327.5,,,,,,,,,,,,,,,,1949.900024,1931.699951,1935.900024,1946,0,1946,,,,,,,,,18057.69922,17123.58008,18056.30078,17303.65039,0,17303.65039,,13335.5,13133.09961,13290.2998,13191.5,0,13191.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,658.2550049,656.0809937,657.460022,657.867981,1505900,657.867981,,,,,,,,,653.5900269,636.8099976,637.9899902,648.6900024,36500,648.6900024,,,,,,,,,5989.200195,5923.299805,5923.299805,5984.899902,1055800,5984.899902,,7493.399902,7348.399902,7493.399902,7478.299805,0,7478.299805,,3598.899902,3545.800049,3577.100098,3596.100098,0,3596.100098,,,,,,,,,674.9000244,670.5,672.2000122,670.9000244,0,670.9000244,,,,,,,,,,,,,,,,,,,,,
1/13/1997,762.8499756,756.6900024,759.5,759.5100098,445400000,759.5100098,,1337.77002,1328.709961,1335.449951,1330.910034,612090000,1330.910034,,6734.200195,6669.540039,6706.100098,6709.180176,36300000,6709.180176,,4237,4237,4237,4237,0,4237,,588.8599854,585.6900024,586.039978,586.1300049,238300,586.1300049,,,,,,,,,366.7000122,365.5499878,366.0899963,365.8500061,445400000,365.8500061,,20.22999954,19.28000069,19.46999931,19.84000015,0,19.84000015,,2960.75,2937.139893,2938.840088,2956.780029,0,2956.780029,,2371.399902,2353.899902,2354.5,2361.300049,0,2361.300049,,,,,,,,,,,,,,,,1983.599976,1962.900024,1964,1976.599976,0,1976.599976,,,,,,,,,18151.92969,17019.56055,17338.39063,18118.78906,0,18118.78906,,13310.2998,13103.90039,13165.2002,13289.2002,0,13289.2002,,,,,,,,,,,,,,,,2363.800049,2363.800049,2363.800049,2363.800049,0,2363.800049,,2430.199951,2419.399902,2422.300049,2419.399902,0,2419.399902,,,,,,,,,659.4039917,655.1240234,658.1110229,656.0930176,1335200,656.0930176,,,,,,,,,664.9500122,655.7399902,659.8099976,659.539978,28700,659.539978,,,,,,,,,6016.700195,5998.5,6009.200195,6001.5,1110300,6001.5,,7478.299805,7360.299805,7478.299805,7411.799805,0,7411.799805,,3597.399902,3557.5,3594.100098,3561.600098,0,3561.600098,,,,,,,,,678.4000244,670.0999756,674.9000244,674.4000244,0,674.4000244,,237.5899963,232.2599945,232.2599945,234.9199982,0,234.9199982,,,,,,,,,,,,,,
